"วัตถุดิบ","ทุกกี่วัน","สั่งกี่วัน","ร้าน","ยอดรวม","กี่ชื่อ","ล่าสุด","ชื่อทั้งหมด"
"คิงมารีนฟู้ดส์ ไข่ปลาเคปปลินเอบิโกะปรุงรสสีส้มแช่แข็ง 500 ก.","","1","GO","255","1","2026-07-19","GO: คิงมารีนฟู้ดส์ ไข่ปลาเคปปลินเอบิโกะปรุงรสสีส้มแช่แข็ง 500 ก."
"เม็ดบัว แห้ง 500 ก.","","1","GO","250","1","2026-06-06","GO: เม็ดบัว แห้ง 500 ก."
"ลูยจลิโอ น้ำมันมะกอกบริสุทธิ์ 1 ล.","","1","GO","250","1","2026-07-26","GO: ลูยจลิโอ น้ำมันมะกอกบริสุทธิ์ 1 ล."
"สาหร่ายทะเลย่าง ตราทาเบรุ","","1","Freshket","239","1","2026-08-20","Freshket: สาหร่ายทะเลย่าง ตราทาเบรุ"
"เอบีซี มอสซาเรลล่าเชดด้าชีสหั่นเต๋าแช่แข็ง 900 ก.","","1","GO","235","1","2026-08-01","GO: เอบีซี มอสซาเรลล่าเชดด้าชีสหั่นเต๋าแช่แข็ง 900 ก."
"แครนเบอร์รีซอร์พต์มอยท์ ตราเฮอริเทจ","","1","Freshket","231","1","2026-09-03","Freshket: แครนเบอร์รีซอร์พต์มอยท์ ตราเฮอริเทจ"
"แองเคอร์ แดรี่วิปปิ้งครีม 1 ล.","","1","GO","229","1","2026-06-09","GO: แองเคอร์ แดรี่วิปปิ้งครีม 1 ล."
"แอคเนซี พาสต้า เอลิเก เบอร์ 56 500 ก.","","1","GO","228","1","2026-06-09","GO: แอคเนซี พาสต้า เอลิเก เบอร์ 56 500 ก."
"ขนมปังฝรังเศส บาแกตต์ (แช่แข็ง) ตราดุสิต 4 ชิน/แพ็ค","","1","Freshket","220","1","2026-09-15","Freshket: ขนมปังฝรังเศส บาแกตต์ (แช่แข็ง) ตราดุสิต 4 ชิน/แพ็ค"
"ไทยฮันนี่ น้ำผึ้งดอกไม้ป่าขนาด 1,000 ก.","","1","GO","210","1","2026-06-25","GO: ไทยฮันนี่ น้ำผึ้งดอกไม้ป่าขนาด 1,000 ก."
"เฮอริเทจ แครนเบอร์รี่ ซอฟแอนด์มอยส์ 500 ก.","","1","GO","210","1","2026-07-09","GO: เฮอริเทจ แครนเบอร์รี่ ซอฟแอนด์มอยส์ 500 ก."
"เห็ดหอมแห้งเล็ก ตราต้นตะวัน","","1","Freshket","210","1","2026-09-14","Freshket: เห็ดหอมแห้งเล็ก ตราต้นตะวัน"
