"วัตถุดิบ","ทุกกี่วัน","สั่งกี่วัน","ร้าน","ยอดรวม","กี่ชื่อ","ล่าสุด","ชื่อทั้งหมด"
"มิชชั่น แผ่นแป้งรสดั้งเดิม 360 ก.","2","3","GO","2300","1","2026-06-04","GO: มิชชั่น แผ่นแป้งรสดั้งเดิม 360 ก."
"กระเทียมจีน แกะกลีบใหญ่ ยกกระสอบ 5 กก.","2","2","GO","550","1","2026-06-27","GO: กระเทียมจีน แกะกลีบใหญ่ ยกกระสอบ 5 กก."
"ซุปเปอร์เซฟ ถาดฟอยล์เหลี่ยม พร้อมฝาเบอร์ 4432-P 230 มล. x 10","2","2","GO","384","1","2026-08-02","GO: ซุปเปอร์เซฟ ถาดฟอยล์เหลี่ยม พร้อมฝาเบอร์ 4432-P 230 มล. x 10"
"อโวคาโดพันธุ์แฮชสุก (นําเข้า) 1 ลูก/แพ็ค","2","2","Freshket","175","2","2026-08-20","Freshket: อโวคาโดพันธุ์แฮชสุก (นําเข้า) 1 ลูก/แพ็ค | Freshket: อโวคาโดพันธุ์แฮชสุก (นําเข้า) 2 ลูก/แพ็ค"
"มะม่วงเปรียว (ตามฤดูกาล) คัดสวย","2","2","Freshket","171","2","2026-09-05","Freshket: มะม่วงเปรียว (ตามฤดูกาล) คัดสวย | Freshket: มะม่วงเปรียว (ตามฤดูกาล)"
"โครงการหลวง ผักสลัดแก้ว แพ็ค 300 ก.","2","2","GO","140","1","2026-07-09","GO: โครงการหลวง ผักสลัดแก้ว แพ็ค 300 ก."
"สันในหมู","3","31","Freshket+GO","29248","3","2026-09-16","Freshket: สันในหมู | GO: สันในหมู 1 กก. | Freshket: สันในหมู (แช่แข็ง)"
"อกไก่เนื้อล้วนติดหนัง 1 กก.","3","34","GO+Freshket","24430","2","2026-09-16","GO: อกไก่เนื้อล้วนติดหนัง 1 กก. | Freshket: อกไก่ติดหนัง"
"มันเทศเนือเหลืองไทย","3","2","Freshket","260","1","2026-09-09","Freshket: มันเทศเนือเหลืองไทย"
"เจ้ควิก เต้าหู้ขาว 180 ก.","3","3","GO","126","1","2026-07-27","GO: เจ้ควิก เต้าหู้ขาว 180 ก."
"ผักชี ถุงใหญ่ 0.5-1.5 กก./แพ็ค","4","27","GO+Freshket","2261","8","2026-09-16","GO: ผักชี ถุงใหญ่ 0.5-1.5 กก./แพ็ค | GO: ผักชีลาว แพ็ค 150 ก. | GO: ผักชี แพ็ค 150 ก. | GO: ผักชีฝรั่ง แพ็ค 150 ก. | Freshket: ผักชีไทยพร้อมราก | Freshket: ผักชีใบเลือย | GO: ผักชีฝรั่ง ออร์แกนิค แพ็ค 150 ก. | Freshket: ผักชีจีน"
"แตงกวาญี่ปุ่น 1 กก.","4","21","GO+Freshket","1626","5","2026-09-01","GO: แตงกวาญี่ปุ่น 1 กก. | GO: แตงกวา แพ็ค 500 ก. | Freshket: แตงกวาญี่ปุน | GO: แตงกวาญี่ปุ่น ถุงใหญ่ 2.5-3.5 กก./แพ็ค | Freshket: แตงกวาไทย"
"ดอกกะหล่ำขาวจีน 1 กก.","4","17","GO","1128","1","2026-08-06","GO: ดอกกะหล่ำขาวจีน 1 กก."
"ใบกะเพรา แพ็ค 150 ก.","4","5","GO","106","1","2026-08-04","GO: ใบกะเพรา แพ็ค 150 ก."
"มะเขือเทศราชินี 1 กก.","5","23","GO+Freshket","2505","3","2026-09-15","GO: มะเขือเทศราชินี 1 กก. | Freshket: มะเขือเทศราชินีไทย | GO: มะเขือเทศราชินี ออร์แกนิค แพ็ค 300 ก."
"พริกยักษ์สีแดง 1 กก.","5","20","GO+Freshket","2280","5","2026-09-12","GO: พริกยักษ์สีแดง 1 กก. | GO: พริกยักษ์ 3 สี แพ็ค 6 ลูก | Freshket: พริกยักษ์ คละสี | GO: โครงการหลวง พริกยักษ์สีแดง แพ็ค 150 ก. | Freshket: พริกยักษ์ คละสี 3 ลูก/แพ็ค"
"เห็ดออรินจินอก เล็ก แพ็ค 1 กก.","5","22","GO+Freshket","1261","2","2026-09-15","GO: เห็ดออรินจินอก เล็ก แพ็ค 1 กก. | Freshket: เห็ดออรินจิ"
"ต้นหอม แพ็ค 150 ก.","5","23","GO+Freshket","915","4","2026-09-15","GO: ต้นหอม แพ็ค 150 ก. | Freshket: ต้นหอมไทย คัดสวย | Freshket: ต้นหอมไทย | GO: ต้นหอมญี่ปุ่น 1 กก."
"ผักคอสนอก แพ็ค 500 ก.","5","14","GO","913","2","2026-08-04","GO: ผักคอสนอก แพ็ค 500 ก. | GO: ผักคอสนอก ถุงใหญ่ 2 กก."
"เบสท์ฟู้ดส์ สปาเก็ตตี้ 1 กก.","5","2","GO","553","1","2026-07-04","GO: เบสท์ฟู้ดส์ สปาเก็ตตี้ 1 กก."
"เครื่องต้มยำ แพ็ค 300 ก.","5","4","GO","295","1","2026-07-25","GO: เครื่องต้มยำ แพ็ค 300 ก."
"เห็ดชิเมจิดำ แพ็ค 1 กก.","5","4","GO","241","1","2026-06-20","GO: เห็ดชิเมจิดำ แพ็ค 1 กก."
"เห็ดออรินจินอก ใหญ่ แพ็ค 1 กก.","5","3","GO","196","1","2026-06-06","GO: เห็ดออรินจินอก ใหญ่ แพ็ค 1 กก."
"ตรามือที่ 1 โรสแมรี่ 100 ก.","5","2","GO","189","2","2026-08-11","GO: ตรามือที่ 1 โรสแมรี่ 100 ก. | GO: เอลเอวิออน โรสแมรี่ 200 ก."
"บรอกโคลีนอก 1 ลัง","6","14","GO","6830","1","2026-08-10","GO: บรอกโคลีนอก 1 ลัง"
"โกริโกะ สาหร่ายแผ่น เกรดเอ 115 ก.","6","2","GO","440","1","2026-07-11","GO: โกริโกะ สาหร่ายแผ่น เกรดเอ 115 ก."
"โปรเซฟ ผงซักฟอก 3,000 ก.","6","2","GO","327","1","2026-06-09","GO: โปรเซฟ ผงซักฟอก 3,000 ก."
"สลัดแก้วนอก 1 กก.","6","3","GO","228","2","2026-08-10","GO: สลัดแก้วนอก 1 กก. | GO: ผักสลัดแก้ว ออร์แกนิค แพ็ค 200 ก."
"เอ ชอยซ์ ไข่ไก่คละ เบอร์ 3-4 มีฝา x 30","7","16","GO+Freshket","8584","5","2026-09-09","GO: เอ ชอยซ์ ไข่ไก่คละ เบอร์ 3-4 มีฝา x 30 | GO: ไข่ไก่ คละเบอร์ 3-4 ไม่มีฝา 30 ฟอง x 5 | GO: ไข่ไก่ เบอร์ 3 ไม่มีฝา 30 ฟอง x 5 | Freshket: ไข่ไก่ เบอร์ 4 ไม่มีฝา 3 x | Freshket: ไข่ไก่ คละเบอร์ 3-4 ไม่มีฝา 3 x"
"สะโพกไก่","7","13","Freshket+GO","8409","2","2026-09-07","Freshket: สะโพกไก่ | GO: สะโพกไก่ติดกระดูก 1 กก."
"แครอทนอก 1 ลัง","7","17","GO+Freshket","2260","2","2026-09-16","GO: แครอทนอก 1 ลัง | Freshket: แครอท"
"มันฝรั่งนอก 1 กก.","7","9","GO","2068","3","2026-08-10","GO: มันฝรั่งนอก 1 กก. | GO: มันฝรั่งนอก 1 ลัง | GO: มันฝรั่งนอก แพ็ค 1 กก."
"ถั่วฝักยาว แพ็ค 500 ก.","7","15","GO+Freshket","607","3","2026-09-09","GO: ถั่วฝักยาว แพ็ค 500 ก. | Freshket: ถัวฝักยาวเส้นผอมเรียว | Freshket: ถัวฝักยาว"
"ใบโหระพา แพ็ค 150 ก.","7","17","GO+Freshket","488","4","2026-09-15","GO: ใบโหระพา แพ็ค 150 ก. | Freshket: โหระพา | GO: ใบโหระพา ถุงใหญ่ 0.5-1.5 กก./แพ็ค | GO: ใบโหระพาและใบกะเพรา แพ็ค 150 ก."
"พริกขี้หนูแดง แพ็ค 300 ก.","7","10","GO","403","3","2026-08-08","GO: พริกขี้หนูแดง แพ็ค 300 ก. | GO: พริกขี้หนูแดง ถุงใหญ่ 0.5-1.5 กก./แพ็ค | GO: พริกขี้หนูแดง แพ็ค 100 ก."
"สาลีน้าผึง","7","2","Freshket","114","1","2026-09-16","Freshket: สาลีน้าผึง"
"สะระแหน่ คัดสวย","7","2","Freshket","39","2","2026-09-13","Freshket: สะระแหน่ คัดสวย | Freshket: สะระแหน่"
"หอมใหญ่นอก ยกกระสอบ 10 กก.","8","10","GO","2240","5","2026-08-06","GO: หอมใหญ่นอก ยกกระสอบ 10 กก. | GO: หอมใหญ่นอก ยกกระสอบ 5 กก. | GO: หอมใหญ่ไทย แพ็ค 1 กก. | GO: หอมใหญ่ไทย 1 กระสอบ | GO: หอมใหญ่ไทย ยกกระสอบ 5 กก."
"มะเขือเทศท้อ ถุงใหญ่ 2.5-3.5 กก./แพ็ค","8","16","GO+Freshket","1482","3","2026-09-15","GO: มะเขือเทศท้อ ถุงใหญ่ 2.5-3.5 กก./แพ็ค | GO: มะเขือเทศท้อ 1 กก. | Freshket: มะเขือเทศท้อ"
"หอมแดง มัดจุก แพ็ค 1 กก.","8","14","GO+Freshket","1386","3","2026-09-15","GO: หอมแดง มัดจุก แพ็ค 1 กก. | Freshket: หอมแดง ตัดจุก ไม่ปอกเปลือก | GO: หอมแดง ตัดจุก แพ็ค 1 กก."
"หน่อไม้ฝรัง","8","10","Freshket+GO","1113","3","2026-09-06","Freshket: หน่อไม้ฝรัง | GO: หน่อไม้ฝรั่งเขียว แพ็ค 300 ก. | GO: หน่อไม้ฝรั่ง ออร์แกนิค แพ็ค 300 ก."
"พริกขี้หนูสวน แพ็ค 300 ก.","8","13","GO+Freshket","707","5","2026-09-16","GO: พริกขี้หนูสวน แพ็ค 300 ก. | GO: พริกขี้หนูสวนเด็ดก้าน แพ็ค 100 ก. | GO: พริกขี้หนูสวน ถุงใหญ่ 0.5-1.5 กก./แพ็ค | Freshket: พริกขีหนูสวนกลาง คัดสวย | Freshket: พริกขีหนูสวน"
"พริกยักษ์เขียว เบอร์รอง","8","2","Freshket","180","1","2026-09-15","Freshket: พริกยักษ์เขียว เบอร์รอง"
"ตำลึง แพ็ค 150 ก.","8","3","GO","75","1","2026-07-29","GO: ตำลึง แพ็ค 150 ก."
"คิง น้ำมันรำข้าว 5 ล.","9","8","GO","3090","1","2026-08-10","GO: คิง น้ำมันรำข้าว 5 ล."
"ซูกินีไทย","9","4","Freshket","225","1","2026-09-10","Freshket: ซูกินีไทย"
"มะนาวแป้น แพ็ค 10 ลูก","9","7","GO","159","1","2026-08-06","GO: มะนาวแป้น แพ็ค 10 ลูก"
"ผักกาดขาวปลี ถุงใหญ่ 4.5-5.5 กก./แพ็ค","10","13","GO+Freshket","1783","3","2026-09-16","GO: ผักกาดขาวปลี ถุงใหญ่ 4.5-5.5 กก./แพ็ค | Freshket: ผักกาดขาว | GO: ผักกาดขาวปลี 1 กก."
"กะหล่ำปลี 1 กก.","10","7","GO","455","2","2026-07-29","GO: กะหล่ำปลี 1 กก. | GO: กะหล่ำปลี ถุงใหญ่ 4.5-5.5 กก./แพ็ค"
"ข้าวโพดอ่อน แพ็ค 500 ก.","10","12","GO+Freshket","364","4","2026-09-15","GO: ข้าวโพดอ่อน แพ็ค 500 ก. | Freshket: ข้าวโพดอ่อนติดหมวก | Freshket: ข้าวโพดอ่อนติดหมวก คัดสวย | Freshket: ข้าวโพดอ่อนเปลือย"
"ทาบาสโก ซอส เรดเปปเปอร์ 150 มล.","10","2","GO","345","1","2026-08-11","GO: ทาบาสโก ซอส เรดเปปเปอร์ 150 มล."
"มะม่วงเขียวสามรส 1 กก.","10","3","GO","117","1","2026-06-28","GO: มะม่วงเขียวสามรส 1 กก."
"เลมอนนอก #88 1 ลูก","11","10","GO+Freshket","541","3","2026-09-15","GO: เลมอนนอก #88 1 ลูก | Freshket: มะนาวเลมอนนอก 1 ลูก/แพ็ค | Freshket: มะนาวเลมอนนอก 4 ลูก/แพ็ค"
"มะเขือเปราะ แพ็ค 500 ก.","11","8","GO+Freshket","323","3","2026-09-07","GO: มะเขือเปราะ แพ็ค 500 ก. | Freshket: มะเขือเปราะ | Freshket: มะเขือเปราะ คัดสวย"
"พริกยักษ์แดง เบอร์รอง","11","3","Freshket","248","2","2026-09-15","Freshket: พริกยักษ์แดง เบอร์รอง | Freshket: พริกยักษ์แดง"
"สะระแหน่และผักชีฝรั่ง แพ็ค 150 ก.","11","7","GO","217","1","2026-08-11","GO: สะระแหน่และผักชีฝรั่ง แพ็ค 150 ก."
"กระดูกซุปหมู 1 กก.","11","2","GO","104","1","2026-08-02","GO: กระดูกซุปหมู 1 กก."
"วุ้นเส้นแห้ง ตราต้นสน","12","6","Freshket+GO","756","3","2026-09-05","Freshket: วุ้นเส้นแห้ง ตราต้นสน | GO: ต้นสน วุ้นเส้นแห้ง 500 ก. | GO: ต้นสน วุ้นเส้นแห้ง แบบม้วน 80 ก. x 10"
"ขิงแก่ 1 กก.","12","4","GO","300","1","2026-08-11","GO: ขิงแก่ 1 กก."
"คาอิโซ เส้นแก้ว ชนิดเส้นเล็ก 300 ก.","12","2","GO","228","2","2026-06-09","GO: คาอิโซ เส้นแก้ว ชนิดเส้นเล็ก 300 ก. | GO: คาอิโซ เส้นแก้ว ชนิดเส้นเล็ก 1 กก."
"เมจิ โยเกิร์ตไม่มีไขมันรสออริจินัล 135 ก. x 4","12","2","GO","116","1","2026-07-21","GO: เมจิ โยเกิร์ตไม่มีไขมันรสออริจินัล 135 ก. x 4"
"คิวพี มายองเนส สูตรไม่มีน้ำตาล 1 กก.","13","6","GO","2480","1","2026-08-06","GO: คิวพี มายองเนส สูตรไม่มีน้ำตาล 1 กก."
"เส้นเงิน แผ่นเกี๊ยวจีน 500 ก.","13","7","GO+Freshket","514","3","2026-08-24","GO: เส้นเงิน แผ่นเกี๊ยวจีน 500 ก. | Freshket: แผ่นเกียวจีน ตราเส้นเงิน | GO: เส้นเงิน แผ่นเกี๊ยวจีน เจ 500 ก."
"ผักกวางตุ้งไต้หวัน (ไทย)","13","9","Freshket+GO","374","3","2026-09-10","Freshket: ผักกวางตุ้งไต้หวัน (ไทย) | GO: ผักกวางตุ้งไต้หวัน แพ็ค 300 ก. | GO: ผักกวางตุ้ง แพ็ค 300 ก."
"บวบเหลียม หันท่อน","13","7","Freshket+GO","344","2","2026-09-14","Freshket: บวบเหลียม หันท่อน | GO: บวบเหลี่ยม 1 กก."
"ยอดคะน้าฮ่องกง","13","6","Freshket+GO","328","4","2026-09-14","Freshket: ยอดคะน้าฮ่องกง | GO: คะน้า แพ็ค 300 ก. | GO: ยอดคะน้าฮ่องกง แพ็ค 500 ก. | Freshket: ยอดคะน้า คัดสวย"
"ผักโขมจีน แพ็ค 300 ก.","13","6","GO+Freshket","305","4","2026-09-15","GO: ผักโขมจีน แพ็ค 300 ก. | Freshket: ผักโขมไทย คัดสวย | Freshket: ผักโขมจีน | Freshket: ผักโขมแบบบอล (แช่แข็ง)"
"พริกไทยอ่อน แพ็ค 150 ก.","13","2","GO+Freshket","113","2","2026-08-19","GO: พริกไทยอ่อน แพ็ค 150 ก. | Freshket: พริกไทยอ่อน คัดสวย (เป็นพวงเต็มก้าน)"
"โฟร์โมสต์ นมยูเอชที รสจืด 1,000 มล. x 12","14","2","GO+Freshket","1239","2","2026-08-18","GO: โฟร์โมสต์ นมยูเอชที รสจืด 1,000 มล. x 12 | Freshket: นมยูเอชที รสจืด ตราโฟร์โมสต์ 12 x"
"เด็กสมบูรณ์ ซีอิ๊วขาว สูตร 1 4,500 มล.","14","3","GO","677","1","2026-07-23","GO: เด็กสมบูรณ์ ซีอิ๊วขาว สูตร 1 4,500 มล."
"หอมหัวใหญ่","14","2","Freshket","550","1","2026-09-15","Freshket: หอมหัวใหญ่"
"ซิลค์สวีท มันหวาน ยกลัง 500 ก. x 8","14","2","GO","520","1","2026-06-16","GO: ซิลค์สวีท มันหวาน ยกลัง 500 ก. x 8"
"เต้าหู้ขาวก้อนแข็ง 220-250 กรัม/ก้อน","14","6","Freshket","508","1","2026-09-13","Freshket: เต้าหู้ขาวก้อนแข็ง 220-250 กรัม/ก้อน"
"พริกหนุ่ม","14","7","Freshket+GO","332","3","2026-09-05","Freshket: พริกหนุ่ม | GO: พริกหนุ่ม ถุงใหญ่ 0.5-1.5 กก./แพ็ค | GO: พริกหนุ่ม แพ็ค 300 ก."
"โมคิ บุกเส้นกลม 2 กก.","14","2","GO","294","1","2026-07-28","GO: โมคิ บุกเส้นกลม 2 กก."
"พริกชี้ฟ้าแดง แพ็ค 300 ก.","14","8","GO+Freshket","250","3","2026-09-05","GO: พริกชี้ฟ้าแดง แพ็ค 300 ก. | Freshket: พริกชีฟ้าแดง | GO: พริกชี้ฟ้าแดง แพ็ค 100 ก."
"ตะไคร้ แพ็ค 500 ก.","14","8","GO+Freshket","177","2","2026-09-07","GO: ตะไคร้ แพ็ค 500 ก. | Freshket: ตะไคร้พันธุ์เกษตร (สีขาว)"
"พริกจินดา แห้ง เด็ดก้าน 100 ก.","14","3","GO","128","2","2026-08-02","GO: พริกจินดา แห้ง เด็ดก้าน 100 ก. | GO: พริกจินดา แห้ง 100 ก."
"ผักแพว แพ็ค 200 ก.","14","2","GO","105","1","2026-07-19","GO: ผักแพว แพ็ค 200 ก."
"เห็ดเข็มทอง แพ็ค 1 กก.","14","2","GO","102","1","2026-06-20","GO: เห็ดเข็มทอง แพ็ค 1 กก."
"เนื้อแดงวัวบด 1 กก.","15","6","GO","3770","1","2026-08-10","GO: เนื้อแดงวัวบด 1 กก."
"กระเทียมจีน แกะกลีบคละไซส์ ยกกระสอบ 5 กก.","15","8","GO+Freshket","2311","3","2026-09-05","GO: กระเทียมจีน แกะกลีบคละไซส์ ยกกระสอบ 5 กก. | GO: กระเทียมจีน แกะกลีบคละไซส์ แพ็ค 1 กก. | Freshket: กระเทียมจีนปอกเปลือก"
"น้ามันรําข้าว ตราคิง","15","3","Freshket","995","1","2026-09-15","Freshket: น้ามันรําข้าว ตราคิง"
"กะทิขวด ตราเรียลไทย 6 x","15","4","Freshket+GO","520","3","2026-09-16","Freshket: กะทิขวด ตราเรียลไทย 6 x | GO: อัมพวา กะทิแท้ 100% 250 มล. x 6 | Freshket: กะทิขวด ตราอัมพวา"
"เอ ชอยซ์ ซอสหอยนางรม 5,000 ก.","15","4","GO","379","2","2026-07-23","GO: เอ ชอยซ์ ซอสหอยนางรม 5,000 ก. | GO: เอ ชอยซ์ ซอสหอยนางรม 1,000 ก."
"ตําลึง คัดสวย","15","6","Freshket","295","2","2026-09-14","Freshket: ตําลึง คัดสวย | Freshket: ตําลึง"
"มะระจีน 1 กก.","15","6","GO+Freshket","285","3","2026-09-10","GO: มะระจีน 1 กก. | Freshket: มะระจีน คัดสวย | Freshket: มะระจีน"
"ถั่วงอก แพ็ค 1 กก.","15","7","GO+Freshket","247","4","2026-09-05","GO: ถั่วงอก แพ็ค 1 กก. | Freshket: ถัวงอกเรียวยาว | Freshket: ถัวงอก ตราไผ่คู่ | GO: ถั่วงอกหัวโต 500 ก."
