บาร์โค้ด,สินค้า GO,หน่วย,สั่งกี่ครั้ง,ราคาต่อหน่วย,ยอดรวม
2000100076811,"แตงกวาญี่ปุ่น ถุงใหญ่ 2.5-3.5 กก./แพ็ค",Pack,1,79,237
8859791100015,"เอบีซี มอสซาเรลล่าเชดด้าชีสหั่นเต๋าแช่แข็ง 900 ก.",Piece,1,235,235
2000100143742,"แอปเปิ้ลฟูจิ #113 แพ็ค 8 ลูก",PACK,3,75,229
9415007303510,"แองเคอร์ แดรี่วิปปิ้งครีม 1 ล.",Piece,1,229,229
8001200139561,"แอคเนซี พาสต้า เอลิเก เบอร์ 56 500 ก.",Piece,1,76,228
2000100054628,"ตับไก่ 1 กก.",Kilogram,2,108,211
8856628200122,"ไทยฮันนี่ น้ำผึ้งดอกไม้ป่าขนาด 1,000 ก.",Piece,1,210,210
8850096170802,"เฮอริเทจ แครนเบอร์รี่ ซอฟแอนด์มอยส์ 500 ก.",Piece,1,210,210
3076820002064,"เครสโป มะกอกดำ ไม่มีเมล็ด 387 ก.",Piece,2,107,209
2000100080566,"พริกขี้หนูสวน ถุงใหญ่ 0.5-1.5 กก./แพ็ค",Pack,2,89,208
8857128566336,"แสงทอง น้ำตาลเหลว 1,000 ก.",Piece,3,52,208
8850100002884,"ไวไว เส้นหมี่กึ่งสำเร็จรูปอบแห้ง 500 ก. x 3",PACK,2,100,200
2000100072486,"เห็ดออรินจินอก ใหญ่ แพ็ค 1 กก.",PACK,3,49,196
4902430366816,"ดาวน์นี่ น้ำยาปรับผ้านุ่มเข้มข้น ตากผ้าในร่ม 2,000 มล.",Piece,1,195,195
8800002101451,"ไดโน่ ม็อบล็อค ด้ามอลูมิเนียม 1.2 ม. พร้อมผ้าม็อบ 300 ก. 12 นิ้ว",Piece,1,195,195
8858705600115,"แมกโนเลีย แดรี่วิปปิ้งครีม 946 มล.",Piece,1,195,195
8850545455559,"ทิพรส น้ำปลา 4,500 มล.",Piece,1,192,192
8854387005118,"พรวิภา กุนเชียงหมู 8 นิ้ว ผูกเชือก 1 กก.",PACK,1,190,190
8859786400977,"เอ ชอยซ์ เกาลัดแกะเปลือกแช่แข็ง 1 กก.",Piece,1,189,189
8859786401936,"เอ ชอยซ์ กระเทียมโทนดอง 850 ก.",Piece,1,189,189
2000100081860,"มะเขือเทศท้อ 1 กก.",Kilogram,3,65,181
2000100077832,"บวบเหลี่ยม 1 กก.",Kilogram,3,59,177
2000100075005,"กระเทียมจีน แกะกลีบคละไซส์ แพ็ค 1 กก.",PACK,1,59,177
8859786401233,"เอ ชอยซ์ มะม่วงน้ำดอกไม้หั่นเต๋าแช่แข็ง 1 กก.",Piece,1,175,175
8850030632946,"โลโบ ผงทำหมูแดง 100 ก. x 6",PACK,1,170,170
5704025036000,"เอ็มบอร์ก วิปแอนด์คุก 1 กก.",Piece,1,170,170
8851483400144,"เอ ชอยซ์ พริกป่น 800 ก.",Piece,1,165,165
2000100151013,"หอมใหญ่ไทย 1 กระสอบ",Sack,1,160,160
2000100072929,"มันฝรั่งนอก แพ็ค 1 กก.",PACK,1,32,160
8851932263870,"วิม ผลิตภัณฑ์ทำความสะอาดห้องน้ำ สีเขียว 3,500 มล.",Piece,1,159,159
8850092102852,"วิซ ถูพื้น ทรีดี ชมพู 5,200 มล.",Piece,1,159,159
2000100081143,"มะนาวแป้น แพ็ค 10 ลูก",PACK,8,25,159
8858773999340,"ซุปเปอร์เซฟ ถุงขยะดำหนา 30 x 40 นิ้ว 1 กก.",PACK,1,79,158
8858773999357,"ซุปเปอร์เซฟ ถุงขยะดำหนา 36 x 45 นิ้ว 1 กก.",PACK,1,79,158
8850304017868,"สก๊อตช์-ไบรต์ แผ่นใยขัดพร้อมฟองน้ำ 3 x 4 นิ้ว x 12",PACK,1,155,155
8850161166150,"อัมพวา กะทิแท้ 100% 250 มล. x 6",PACK,1,152,152
8850206010363,"เด็กสมบูรณ์ ซีอิ๊วขาวเห็ดหอม 2,000 มล.",Piece,1,150,150
8851912020660,"ง่วนเชียง ซีอิ๊วดำฉลากส้ม 2,700 ก.",Piece,2,75,150
8851932462952,"ซันไลต์ ผลิตภัณฑ์ทำความสะอาดพื้น 3.8 ล.",Piece,1,149,149
8859786400137,"เอ ชอยซ์ แครนเบอร์รี่แช่แข็ง 1 กก.",Piece,1,149,149
8856366002132,"คาอิโซ เส้นแก้ว ชนิดเส้นเล็ก 1 กก.",PACK,1,73,146
8856366000077,"ทาเบรุ สาหร่ายแผ่นย่างตัดเส้น 100 ก.",PACK,1,145,145
6957756266652,"จังกึม กิมจิ 1 กก.",Piece,1,145,145
8858418614485,"โครงการหลวง ผักสลัดแก้ว แพ็ค 300 ก.",Piece,2,35,140
9414897010133,"ทาลลีย์ ถั่วลันเตาแช่แข็ง 1 กก.",Piece,1,139,139
8858832701631,"ซุปเปอร์เซฟ ถุงเย็น HDPE 6 x 9 นิ้ว บรรจุ 1 กก.",PACK,1,139,139
8858832701655,"ซุปเปอร์เซฟ ถุงเย็น HDPE 12 x 18 นิ้ว บรรจุ 1 กก.",PACK,1,139,139
8850885304173,"ตรามือที่ 1 พาร์สลีย์ 50 ก.",Piece,2,69,138
2000100073056,"สลัดแก้วนอก 1 กก.",Kilogram,2,69,138
2000100072622,"เห็ดชิเมจิขาว แพ็ค 1 กก.",PACK,1,69,138
2000100080245,"ตะไคร้ แพ็ค 500 ก.",PACK,5,29,135
8859332430014,"เอ ชอยซ์ น้ำส้มสายชูกลั่น 5% 4,500 มล.",Piece,2,67,135
8031459132754,"ออตติมา เส้นคาเปลลินี 500 ก.",Piece,1,45,135
8857120160914,"เส้นเงิน แผ่นเกี๊ยวจีน เจ 500 ก.",Piece,1,44,132
8857128566367,"แสงทอง น้ำตาลมะพร้าวก้นหอย 1,000 ก.",Piece,1,65,130
8857121846046,"ฟองฟอง ฟองเต้าหู้แท่ง 500 ก.",PACK,1,129,129
8857115170201,"เจ้ควิก เต้าหู้ขาว 180 ก.",PACK,3,21,126
