แหล่ง,รหัส,ชื่อสินค้า,ขนาดบรรจุ/หน่วย,สั่งกี่ครั้ง,ราคาต่อหน่วย
Freshket,18221,"กุนเชียงหมู ตราเจ๊เล็ก","1 กก./แพ็ค",1,304.67
Freshket,33738,"มะเขือเทศราชินีไทย","1 กก./แพ็ค",2,120
Freshket,33083,"ฟักทองไทย 3.0-3.5 กก./ลูก","กิโลกรัม",2,44.62
Freshket,50155,"กะทิขวด ตราเรียลไทย 6 x","250 มล./แพ็ค",2,24.14
Freshket,47334,"หน่อไม้ฝรัง","500 กรัม/แพ็ค",3,168
Freshket,51582,"มันเทศเนือเหลืองไทย","1 กก./แพ็ค",2,65
Freshket,26192,"ผักชีไทยพร้อมราก","500 กรัม/แพ็ค",3,168
Freshket,16909,"สาหร่ายทะเลย่าง ตราทาเบรุ","105 กรัม/แพ็ค",1,239.25
Freshket,18742,"แครนเบอร์รีซอร์พต์มอยท์ ตราเฮอริเทจ","500 กรัม/แพ็ค",1,230.84
Freshket,10257,"วุ้นเส้นแห้ง ตราต้นสน","500 กรัม/ห่อ",3,75.7
Freshket,35743,"ยอดคะน้าฮ่องกง","500 กรัม/แพ็ค",3,158
Freshket,33003,"หอมแดง ตัดจุก ไม่ปอกเปลือก","1 กก./แพ็ค",2,110
Freshket,47780,"ขนมปังฝรังเศส บาแกตต์ (แช่แข็ง) ตราดุสิต 4 ชิน/แพ็ค","ชิน",1,54.91
Freshket,46859,"เห็ดหอมแห้งเล็ก ตราต้นตะวัน","500 กรัม/แพ็ค",1,210
Freshket,35143,"แผ่นเกียวจีน ตราเส้นเงิน","500 กรัม/ชิน",3,41.12
Freshket,48170,"ผักกวางตุ้งไต้หวัน (ไทย)","1 กก./แพ็ค",5,35
Freshket,28250,"ผักกาดขาว","1 กก./แพ็ค",2,55
Freshket,49745,"แอปเปิลแดงฟูจิ 10 ลูก/แพ็ค","ลูก",2,9.9
Freshket,12886,"สุราปรุงอาหารเสียวเฮงฮวยเตียว (เหล้าจีน) ตราเจดีย์","640 มล./ขวด",1,196.26
Freshket,11872,"ลูกพรุนอบแห้งพรีเมียม ตราเฮอริเทจ","500 กรัม/แพ็ค",1,196
Freshket,35236,"ผักกาดขาว","5 กก./แพ็ค",1,38
Freshket,17811,"น้าผึงเกสรดอกลําไย ตราดอยคํา","770 กรัม/ขวด",1,188
Freshket,26207,"คอส (นําเข้า)","1 กก./แพ็ค",3,75
Freshket,20578,"ข้าว กข43 ตราฉัตรไลท์","5 กก./ถุง",1,185
Freshket,50873,"พริกยักษ์เขียว เบอร์รอง","1 กก./แพ็ค",2,90
Freshket,50875,"พริกยักษ์แดง เบอร์รอง","1 กก./แพ็ค",2,90
Freshket,37148,"พริกจินดาแดง","500 กรัม/แพ็ค",4,84
Freshket,12360,"ตําลึง คัดสวย","250 กรัม/แพ็ค",4,172
Freshket,26214,"ถัวฝักยาวเส้นผอมเรียว","500 กรัม/แพ็ค",5,52
Freshket,10936,"บวบเหลียม หันท่อน","500 กรัม/แพ็ค",5,66
Freshket,19039,"เส้นหมีอบแห้ง ตราไวไว","2.7 กก./แพ็ค",1,164.49
Freshket,48521,"กระดาษไขเคลือบพิเศษ 45 ซม. x 30 ม. 1 ชิน/กล่อง","ม้วน",1,163.55
Freshket,25461,"บะหมีผักโมโรเฮยะ","200 กรัม/แพ็ค",1,40.19
Freshket,13527,"น้ายาถูพืน กลินลิลลีบูเก้ ตรามาจิคลีน (สีชมพู)","5000 มล./แกลลอน",1,157.94
Freshket,46102,"ทูน่าแซนวิชในน้าเกลือ ตราซีเล็คฟิตต์ 4 x","165 กรัม/แพ็ค",1,38.55
Freshket,26635,"บร็อคโคลี","2 กก./แพ็ค",1,75
Freshket,33913,"พริกยักษ์ คละสี 3 ลูก/แพ็ค","ลูก",2,24.67
Freshket,34167,"แตงกวาญี่ปุน","1 กก./แพ็ค",2,65
Freshket,28884,"ดอกกะหล่านอก","1 กก./แพ็ค",1,70
Freshket,9773,"เห็ดฟาง ขนาดใหญ่","500 กรัม/แพ็ค",1,280
Freshket,31095,"พริกยักษ์ คละสี","500 กรัม/แพ็ค",2,126
Freshket,33717,"ซูกินีไทย","500 กรัม/แพ็ค",3,90
Freshket,47822,"มันเทศสีม่วง","1 กก./แพ็ค",1,65
Freshket,30955,"มะละกอฮอลแลนด์สุก 1 กก./ลูก 1 ลูก/แพ็ค","กิโลกรัม",1,130
Freshket,39696,"มะม่วงเปรียว (ตามฤดูกาล)","1 กก./แพ็ค",1,65
Freshket,22755,"เพนเน่ พาสต้า/พาสต้ารูปหลอดปลายตัดเฉียง ตราซาน เรโม เบอร์ 18","500 กรัม/ชิน",1,64.49
Freshket,9659,"กะหล่าปลี","1 กก./แพ็ค",3,29
Freshket,36497,"ตําลึง","500 กรัม/แพ็ค",2,126
Freshket,33442,"ค้อตเตจชีส ตราออลลี","400 กรัม/ชิน",1,120.56
Freshket,33087,"เห็ดออรินจิ","1 กก./แพ็ค",2,60
Freshket,36463,"ผงทําข้าวหมกไก่ ตราโลโบ","50กรัม/ชิน",1,29.91
Freshket,33196,"ถัวฝักยาว","1 กก./แพ็ค",2,50
Freshket,47851,"อโวคาโดพันธุ์แฮชสุก (นําเข้า) 2 ลูก/แพ็ค","ลูก",1,58
Freshket,9679,"ต้นหอมไทย คัดสวย","250 กรัม/แพ็ค",3,184
Freshket,18051,"พริกเกาหลีแบบ่ปนหยาบสําหรับทํากิมจิ ตราชองจองวอน","500 กรัม/แพ็ค",1,115.89
Freshket,45120,"สาลีน้าผึง","1 กก./แพ็ค",2,57
Freshket,36233,"ตับไก่ ตราเบทาโกร (แช่แข็ง)","1 กก./แพ็ค",1,112
Freshket,29577,"พริกหนุ่ม","500 กรัม/แพ็ค",3,74
Freshket,33082,"มะเขือเทศท้อ","1 กก./แพ็ค",2,35
Freshket,33152,"เห็ดแชมปิญองหันบางแช่แข็ง ตราเอโร่","1 กก./แพ็ค",1,109
Freshket,17183,"น้าพริกเผา สูตร1 ตราฉัวฮะเส็ง","900 กรัม/กระปุก",1,101.87
Freshket,18446,"เลือดหมูแบบหลอด ตราเบทาโกร 6x210 กรัม/แพ็ค","หลอด",1,16.98
Freshket,12375,"น้าพริกแกงเขียวหวานเผ็ดกลางแบบละเอียด ตราร้านเจ้๊ปุ","1 กก./แพ็ค",1,100
Freshket,45119,"ถัวลันเตาหวาน","500 กรัม/แพ็ค",1,200
Freshket,10267,"แป้งข้าวเจ้า ตราใบหยก","1 กก./แพ็ค",2,32.71
Freshket,19912,"น้าตาลปีบ","2 กก./แพ็ค",1,98.13
Freshket,12381,"น้าพริกแกงส้มแบบละเอียด ตราร้านเจ้๊ปุ","1 กก./แพ็ค",1,94.39
Freshket,13665,"ถัวลิสงมีเยือหุ้ม ตราไร่ทิพย์ (ห่อสีน้าเงิน)","500 กรัม/แพ็ค",1,46
Freshket,32173,"น้ายาล้างจาน กลินมะนาว ตราเซพแพ็ค","3.6 ลิตร./แกลลอน",1,91.59
Freshket,33737,"มะเขือเทศราชินีไทย","500 กรัม/แพ็ค",1,180
Freshket,33718,"ซูกินีไทย","1 กก./แพ็ค",1,90
Freshket,31950,"ปาปริก้า่ปน ตรามือที1","200 กรัม/ชิน",1,90
Freshket,36547,"ผักโขมแบบบอล (แช่แข็ง)","1 กก./ชิน",1,89
Freshket,28263,"หัวไชเท้า","1 กก./แพ็ค",3,25
Freshket,26188,"ต้นหอมไทย","500 กรัม/แพ็ค",2,96
Freshket,25977,"แตงกวาญี่ปุน","500 กรัม/แพ็ค",2,100
Freshket,36499,"ถัวลันเตาแบน","500 กรัม/แพ็ค",1,168
Freshket,43905,"ดีไลท์ พลัส อีริทริทอลผสมหล่อฮังก้วย ตราลิน","200 กรัม/แพ็ค",1,83.18
Freshket,20375,"ผักชีจีน","500 กรัม/แพ็ค",1,160
Freshket,45977,"สับปะรดปัตตาเวีย ขนาด 800-1,000 กรัม/ลูก 1 ลูก/แพ็ค","ลูก",2,40
Freshket,50060,"มะนาวเลมอนนอก 4 ลูก/แพ็ค","ลูก",1,19.75
Freshket,33059,"พริกขีหนูสวน","500 กรัม/แพ็ค",1,158
Freshket,26680,"กะทิขวด ตราอัมพวา","1 ลิตร/ขวด",1,78.5
Freshket,26208,"คอส (นําเข้า)","500 กรัม/แพ็ค",2,90
Freshket,32345,"พริกชีฟ้าเหลือง (เด็ดก้าน)","250 กรัม/แพ็ค",1,304
Freshket,38339,"ผักกาดแก้ว คัดสวย (นําเข้า)","500 กรัม/แพ็ค",1,152
Freshket,20258,"เห็ดออรินจิ ขนาดเล็ก","1 กก./แพ็ค",1,75
Freshket,26190,"โหระพา","500 กรัม/แพ็ค",2,84
Freshket,33024,"กระเทียมจีนปอกเปลือก","1 กก./แพ็ค",1,74
Freshket,10270,"แป้งมันสําปะหลัง ตราใบหยก","1 กก./แพ็ค",1,36.45
Freshket,9661,"ข้าวโพดอ่อนติดหมวก คัดสวย","500 กรัม/แพ็ค",3,50
Freshket,13649,"แป้งสาลีอเนกประสงค์ ตราว่าว","1 กก./ถุง",1,35.51
Freshket,29214,"ข่าแก่","500 กรัม/แพ็ค",2,68
Freshket,36531,"เมล็ดข้าวโพดหวาน (แช่แข็ง)","1 กก./ชิน",1,69
Freshket,33038,"ข้าวโพดอ่อนติดหมวก","500 กรัม/แพ็ค",3,42
Freshket,31094,"พริกยักษ์แดง","500 กรัม/แพ็ค",1,136
Freshket,20137,"กล้วยหอมสุก เบอร์กลาง 5 ลูก/แพ็ค","ลูก",1,13
Freshket,36295,"ยอดมะพร้าวอ่อน","1 กก./แพ็ค",1,65
Freshket,10291,"เกลือบริโภคเสริมไอโอดีน ตราปรุงทิพย์/เกลือปรุงทิพย์","5 กก./แพ็ค",1,60.75
Freshket,11118,"พริกชีฟ้าแห้ง (เด็ดก้าน)","250 กรัม/แพ็ค",1,240
Freshket,47848,"อโวคาโดพันธุ์แฮชสุก (นําเข้า) 1 ลูก/แพ็ค","ลูก",1,59
Freshket,33725,"ผักโขมจีน","1 กก./แพ็ค",1,56
Freshket,11496,"มะระจีน คัดสวย","500 กรัม/แพ็ค",2,52
Freshket,9716,"พริกขีหนูสวนกลาง คัดสวย","250 กรัม/แพ็ค",1,220
Freshket,19289,"พริกแกงคัวกลิง","500 กรัม/แพ็ค",1,52.34
Freshket,9686,"ถัวงอก ตราไผ่คู่","1 กก./แพ็ค",2,26
Freshket,35449,"ฟักทองญี่ปุน คัดขนาด 700-800 กรัม/ลูก","กิโลกรัม",1,69.33
Freshket,36617,"ข้าวโพดอ่อนติดหมวก คัดสวย","1 กก./แพ็ค",1,47
Freshket,49255,"แอปเปิลแดงฟูจิ เบอร์ 80 2 ลูก/แพ็ค","ลูก",1,23
Freshket,48671,"มะนาวเลมอนนอก 1 ลูก/แพ็ค","ลูก",1,23
Freshket,9706,"ผักโขมไทย คัดสวย","500 กรัม/แพ็ค",1,92
Freshket,23426,"เต้าหู้ไข่ ตราเกษตร 5x105 กรัม/แพ็ค","ชิน",1,8.79
Freshket,10268,"แป้งข้าวเหนียว ตราใบหยก","1 กก./แพ็ค",1,42.99
Freshket,23655,"ผักบุ้งจีน คัดสวย","250 กรัม/แพ็ค",3,52
Freshket,28913,"ตะไคร้พันธุ์เกษตร (สีขาว)","500 กรัม/แพ็ค",3,20
Freshket,28248,"โหระพา","250 กรัม/แพ็ค",2,96
Freshket,10943,"มะม่วงเปรียว (ตามฤดูกาล) คัดสวย","500 กรัม/แพ็ค",1,82
Freshket,33008,"หอมแขก","1 กก./แพ็ค",1,40
Freshket,20691,"ต้นหอมไทย คัดสวย","100 กรัม/แพ็ค",1,200
Freshket,33040,"ข้าวโพดอ่อนติดหมวก","1 กก./แพ็ค",1,40
Freshket,20143,"พริกไทยอ่อน คัดสวย (เป็นพวงเต็มก้าน)","50 กรัม/แพ็ค",1,760
Freshket,37835,"พริกชีฟ้าแดง","500 กรัม/แพ็ค",1,74
Freshket,33824,"มะเขือเปราะ","1 กก./แพ็ค",1,35
Freshket,33093,"มะระจีน","1 กก./แพ็ค",1,35
Freshket,35905,"บีทรูท","500 กรัม/แพ็ค",1,68
Freshket,29003,"พริกชีฟ้าเขียว","250 กรัม/แพ็ค",1,132
Freshket,28959,"ผักชีใบเลือย","50 กรัม/แพ็ค",2,100
Freshket,28838,"กะเพราบ้าน","250 กรัม/แพ็ค",2,60
Freshket,20149,"ผักโขมไทย คัดสวย","250 กรัม/แพ็ค",1,104
Freshket,23016,"ถัวงอกเรียวยาว","1 กก./แพ็ค",1,26
Freshket,9910,"มะเขือเปราะ คัดสวย","500 กรัม/แพ็ค",1,48
Freshket,31304,"สีผสมอาหาร (สีแดงส้ม) ตราวินเนอร์","28 มล./ชิน",1,23.36
Freshket,42434,"กะเพราบ้าน","100 กรัม/แพ็ค",4,70
Freshket,31412,"กุยช่าย","250 กรัม/แพ็ค",1,92
Freshket,29004,"พริกชีฟ้าแดง","250 กรัม/แพ็ค",1,88
Freshket,33007,"ผักบุ้งจีน","500 กรัม/แพ็ค",1,44
Freshket,23635,"ข่าแก่ คัดสวย","200 กรัม/แพ็ค",1,110
Freshket,20120,"สะระแหน่ คัดสวย","100 กรัม/แพ็ค",1,220
Freshket,29243,"ข้าวโพดอ่อนเปลือย","250 กรัม/แพ็ค",1,84
Freshket,33825,"มะเขือเปราะ","500 กรัม/แพ็ค",1,42
Freshket,33730,"แตงกวาไทย","500 กรัม/แพ็ค",1,38
Freshket,23659,"พริกชีฟ้าเขียว คัดสวย","100 กรัม/แพ็ค",1,190
Freshket,31303,"สีผสมอาหาร (สีเขียวแอปเปิล) ตราวินเนอร์","28 มล./ชิน",1,17.76
Freshket,28674,"สะระแหน่","100 กรัม/แพ็ค",1,170
Freshket,29319,"คะน้าขนาดกลาง","250 กรัม/แพ็ค",1,60
Freshket,30949,"ยอดคะน้า คัดสวย","200 กรัม/แพ็ค",1,70
Freshket,33073,"ถัวงอกเรียวยาว","500 กรัม/แพ็ค",1,28
Freshket,23647,"ใบมะกรูด คัดสวย","50 กรัม/แพ็ค",2,80
GO,2000100113530,"แอตแลนติกแซลมอนแล่แช่แข็ง (TRIM-C) 1 กก.","Kilogram",5,469
GO,2000100054727,"อกไก่เนื้อล้วนติดหนัง 1 กก.","Kilogram",20,84
GO,2000100164402,"บรอกโคลีนอก 1 ลัง","Case",15,450
GO,2000100167427,"โคโฮแซลมอนแล่แช่แข็ง (Trim-C) 0.8-2.0 กก./แพ็ค","Pack",1,430
GO,2000100051887,"สันในหมู 1 กก.","Kilogram",6,147
GO,2000100218730,"เอ ชอยซ์ ไข่ไก่คละ เบอร์ 3-4 มีฝา x 30","Piece",8,119
GO,2000100054888,"สะโพกไก่ติดกระดูก 1 กก.","Kilogram",6,103
GO,2000100189382,"เนื้อแดงวัวบด 1 กก.","Kilogram",6,255
GO,8851042805052,"แสนดี ข้าวไรซ์เบอร์รี่ 100% 5 กก.","Piece",3,329
GO,8850282111060,"คิง น้ำมันรำข้าว 5 ล.","Piece",9,345
GO,8852043355881,"ไข่ไก่ คละเบอร์ 3-4 ไม่มีฝา 30 ฟอง x 5","PACK",5,545
GO,8852022090192,"คิวพี มายองเนส สูตรไม่มีน้ำตาล 1 กก.","Piece",7,160
GO,9555615900005,"มิชชั่น แผ่นแป้งรสดั้งเดิม 360 ก.","Piece",3,115
GO,2000100046111,"ปลาซาบะแล่แช่แข็ง 1 กก. x 10","Case",1,2200
GO,2000100208625,"กระเทียมจีน แกะกลีบคละไซส์ ยกกระสอบ 5 กก.","Sack",7,290
GO,2000100081624,"มะเขือเทศราชินี 1 กก.","Kilogram",20,179
GO,2000100045299,"เอ ชอยซ์ เนื้อทูน่าซากุ 1 กก.","Kilogram",1,649
GO,2000100150597,"แครอทนอก 1 ลัง","Case",16,140
GO,8859786400526,"เอ ชอยซ์ เห็ดแชมปิญองสไลด์แช่แข็ง 1 กก. x 10","Case",2,850
GO,8859786400755,"เอ ชอยซ์ น้ำมะนาวแช่แข็ง พันธุ์แป้น 1 กก.","Piece",4,119
GO,2000100046296,"เนื้อทูน่าซากุแช่แข็ง ขนาด 500 ก.","PACK",1,320
GO,8852021707701,"ซีเล็ค ฟิตต์ ทูน่าสเต็กในน้ำเกลือ 1,885 ก.","Piece",4,309
GO,8857104140284,"เคซีเอฟ ไข่แดงเค็ม x 25","PACK",5,209
GO,2000100079546,"ผักชี ถุงใหญ่ 0.5-1.5 กก./แพ็ค","Pack",12,119
GO,2000100077474,"ผักกาดขาวปลี ถุงใหญ่ 4.5-5.5 กก./แพ็ค","Pack",9,29
GO,2000100164389,"มันฝรั่งนอก 1 ลัง","Case",4,350
GO,2000100046159,"ปลาทูอินเดียแช่แข็ง ขนาด 4-6 ตัว/กก. แพ็ค 1 กก. x 10","Case",1,1250
GO,2000100081884,"มะเขือเทศท้อ ถุงใหญ่ 2.5-3.5 กก./แพ็ค","Pack",12,39
GO,2000100072424,"เห็ดออรินจินอก เล็ก แพ็ค 1 กก.","PACK",20,69
GO,2000100073032,"ดอกกะหล่ำขาวจีน 1 กก.","Kilogram",17,65
GO,2000100075050,"หอมแดง มัดจุก แพ็ค 1 กก.","PACK",12,89
GO,2000100076798,"แตงกวาญี่ปุ่น 1 กก.","Kilogram",13,89
GO,2000100151044,"หอมใหญ่นอก ยกกระสอบ 10 กก.","Sack",4,270
GO,2000100073179,"พริกยักษ์สีแดง 1 กก.","Kilogram",7,129
GO,8859786400519,"เอ ชอยซ์ เห็ดแชมปิญองสไลด์แช่แข็ง 1 กก.","Piece",3,89
GO,2000100144923,"ปลาทูนึ่ง 2 ตัว","PACK",2,79
GO,2000100208724,"หอมใหญ่นอก ยกกระสอบ 5 กก.","Sack",4,140
GO,2200000002303,"ออร์คิด เนยเพียวบัตเตอร์จืด 2 กก.","Piece",1,798
GO,8859069900026,"จริงใจ แปะก๊วยต้มสุกในน้ำเชื่อม 500 ก.","PACK",4,85
GO,8801039006313,"แฮเพียว เลเวอร์ ซีซามี ออยล์ สาหร่ายอบแห้งปรุงรส รสน้ำมันงา 4 ก. x 16","Piece",3,159
GO,8850206011711,"เด็กสมบูรณ์ ซีอิ๊วขาว สูตร 1 4,500 มล.","Piece",3,229
GO,2000100046104,"ปลาซาบะแล่แช่แข็ง แพ็ค 1 กก.","PACK",1,225
GO,2000100169612,"ผักคอสนอก แพ็ค 500 ก.","Piece",13,39
GO,2000100075845,"เห็ดฟาง ดอกใหญ่ 1 กก.","Kilogram",3,215
GO,8859786400397,"เอ ชอยซ์ ใบผักโขมแบบก้อนแช่แข็ง 1 กก.","Piece",3,89
GO,2200000015082,"โฟร์โมสต์ นมยูเอชที รสจืด 1,000 มล. x 12","Case",1,600
GO,2000100072905,"มันฝรั่งนอก 1 กก.","Kilogram",4,39
GO,2000100073254,"พริกยักษ์ 3 สี แพ็ค 6 ลูก","PACK",5,109
GO,2000100046166,"ปลาทูอินเดียแช่แข็ง ขนาด 6-8 ตัว/กก. แพ็ค 1 กก.","PACK",1,119
GO,2000100078853,"เผือก ถุงใหญ่ 9.5-10.5 กก./แพ็ค","Pack",1,59
GO,2000100079492,"ต้นหอม แพ็ค 150 ก.","PACK",17,25
GO,8854215006027,"เอ ชอยซ์ ถุงมือพลาสติกอเนกประสงค์ x 100","PACK",3,65
GO,8852043355805,"ไข่ไก่ เบอร์ 3 ไม่มีฝา 30 ฟอง x 5","PACK",1,580
GO,8850144900283,"เบสท์ฟู้ดส์ สปาเก็ตตี้ 1 กก.","Piece",2,125
GO,2000100208632,"กระเทียมจีน แกะกลีบใหญ่ ยกกระสอบ 5 กก.","Sack",2,275
GO,2000100353301,"ซิลค์สวีท มันหวาน ยกลัง 500 ก. x 8","Case",2,260
GO,2000100165256,"ขนมปังอาทิซาน ซาวโดวจ์ 300 ก.","Piece",4,49
GO,8006165400947,"คาซา รินัลดิ น้ำมันมะกอกธรรมชาติ เอ็กซ์ตร้าเวอร์จิ้น 1 ล.","Piece",1,490
GO,8850524015019,"คานิแฟมิลี่ ปูอัดแท่ง 500 ก.","PACK",4,105
GO,8001200139059,"แอคเนซี พาสต้า คาเปลลินี เบอร์ 1 500 ก.","Piece",2,67
GO,8852716705067,"แวลู แพ็ค เม็ดมะม่วงหิมพานต์ดิบชนิดหักท่อน LP 1 กก.","Piece",2,225
GO,8854579004745,"โกริโกะ สาหร่ายแผ่น เกรดเอ 115 ก.","Piece",2,220
GO,8850969384275,"โปรเซฟ ผลิตภัณฑ์ล้างจาน 10 ล.","Piece",1,215
GO,8859786403183,"เอ ชอยซ์ เห็ดหอม แห้ง ดอกเล็ก 500 ก.","Piece",1,210
GO,2000100179796,"เลมอนนอก #88 1 ลูก","Piece",8,19
GO,2000100214015,"เอ ชอยซ์ ถั่วลิสง 500 ก. x 10","Piece",1,405
GO,8850269020750,"บ้านไผ่ กุนเชียงเชือกฟ้า 125 ก. x 3","PACK",1,135
GO,8853026003966,"เอ ชอยซ์ ซอส โชยุ 1 ล.","Piece",3,64
GO,2000100046142,"ปลาทูอินเดียแช่แข็ง ขนาด 4-6 ตัว/กก. แพ็ค 1 กก.","PACK",1,129
GO,8853863000043,"ซุปเปอร์เซฟ ถาดฟอยล์เหลี่ยม พร้อมฝาเบอร์ 4432-P 230 มล. x 10","PACK",2,48
GO,0737483778088,"ทรีเลดี้ แผ่นแป้งปอเปี๊ยะเวียดนามวงกลม 22 ซม. 340 ก.","Piece",2,75
GO,2200000001221,"ไทยเดนมาร์ค นมโคยูเอชที รสจืด 180 มล. x 36","Case",1,358
GO,8850180068022,"ตราชั่ง กะปิ 185 ก. x 6","PACK",1,355
GO,8854579007074,"เอชอยซ์ สาหร่ายวากาเมะ 220 ก.","Piece",2,175
GO,8850114445004,"คนแบกกุ้ง น้ำปลา 4,500 มล.","Piece",2,173
GO,0011210000155,"ทาบาสโก ซอส เรดเปปเปอร์ 150 มล.","Piece",2,176
GO,2000100184264,"เนื้อลูกมะพร้าววัวออสเตรเลียบด ขนาด 300-500 ก./แพ็ค","Pack",1,415
GO,8852943003233,"เอ ชอยซ์ ข้าวเหนียว 5 กก.","Piece",1,165
GO,8852832001890,"โปรเซฟ ผงซักฟอก 3,000 ก.","Piece",2,109
GO,8850100208033,"ไวไว เส้นหมี่กึ่งสำเร็จรูปอบแห้ง 2,700 ก.","Piece",2,172
GO,2000100080474,"พริกขี้หนูแดง แพ็ค 300 ก.","PACK",9,35
GO,2000100071212,"ถั่วฝักยาว แพ็ค 500 ก.","PACK",8,39
GO,2000100077320,"กะหล่ำปลี ถุงใหญ่ 4.5-5.5 กก./แพ็ค","Pack",3,19
GO,8859099440455,"ซุปเปอร์เซฟ ฟิล์มยืดหุ้มห่ออาหาร 10 นิ้ว x 500 ม.","Piece",1,305
GO,2000100213858,"เอ ชอยซ์ งาดำ 500 ก.","Piece",2,75
GO,2000100080122,"ขิงแก่ 1 กก.","Kilogram",4,75
GO,8850885044925,"ตรามือที่ 1 พริกไทยดำ ป่น 500 ก.","Piece",1,299
GO,2000100072998,"มันหวานสายพันธุ์ญี่ปุ่น สีเหลือง 1 กก.","Kilogram",3,99
GO,2000100052143,"ซี่โครงหมูหั่นชิ้น 1 กก.","Kilogram",1,148
GO,8857129337249,"เอ ชอยซ์ ซอสมะเขือเทศ 5,000 ก.","Piece",2,155
GO,2000100080283,"เครื่องต้มยำ แพ็ค 300 ก.","PACK",5,59
GO,8858661103026,"โมคิ บุกเส้นกลม 2 กก.","PACK",2,147
GO,8850372000441,"ต้นสน วุ้นเส้นแห้ง แบบม้วน 80 ก. x 10","PACK",2,144
GO,8001200139035,"แอคเนซี พาสต้า สปาเก็ตตี้ เบอร์ 3 500 ก.","Piece",1,71
GO,2000100080597,"พริกขี้หนูสวน แพ็ค 300 ก.","PACK",6,55
GO,8858915001504,"บาบู ควีนัว 3 สี 450 ก.","Piece",1,275
GO,8853334001289,"คุณเฮง เต้าหู้ขาวแข็ง 150 ก.","PACK",2,27
GO,8859411302454,"ซุปเปอร์เซฟ กระดาษอเนกประสงค์ 2 ชั้น แพ็ค 6+2","PACK",2,135
GO,2000100213827,"เอ ชอยซ์ งาขาว 500 ก.","Piece",2,67
GO,8851042001058,"แสนดี ข้าวหอมมะลิ 100% 5 กก.","Piece",1,132
GO,2000100078501,"ฟักทอง 3.5-4.5 กก./ลูก","Piece",3,29
GO,8850468831171,"คิงมารีนฟู้ดส์ ไข่ปลาเคปปลินเอบิโกะปรุงรสสีส้มแช่แข็ง 500 ก.","PACK",1,255
GO,8857129337256,"เอ ชอยซ์ ซอสหอยนางรม 5,000 ก.","Piece",2,119
GO,2000100028797,"เม็ดบัว แห้ง 500 ก.","Piece",1,250
GO,2000100169629,"ผักคอสนอก ถุงใหญ่ 2 กก.","Piece",2,125
GO,8018440000872,"ลูยจลิโอ น้ำมันมะกอกบริสุทธิ์ 1 ล.","Piece",1,250
GO,2000100077986,"มะเขือเปราะ แพ็ค 500 ก.","PACK",5,35
GO,2000100072684,"เห็ดชิเมจิดำ แพ็ค 1 กก.","PACK",4,55
GO,8850372000069,"ต้นสน วุ้นเส้นแห้ง 500 ก.","Piece",2,79
GO,2000100076811,"แตงกวาญี่ปุ่น ถุงใหญ่ 2.5-3.5 กก./แพ็ค","Pack",1,79
GO,8859791100015,"เอบีซี มอสซาเรลล่าเชดด้าชีสหั่นเต๋าแช่แข็ง 900 ก.","Piece",1,235
GO,2000100143742,"แอปเปิ้ลฟูจิ #113 แพ็ค 8 ลูก","PACK",3,75
GO,9415007303510,"แองเคอร์ แดรี่วิปปิ้งครีม 1 ล.","Piece",1,229
